time_s,controller_state,reason,robot_state_age_s,command_sent,measured_x_T_S_m,measured_y_T_S_m,measured_z_T_S_m,desired_x_T_S_m,desired_y_T_S_m,desired_z_T_S_m,error_x_m,error_y_m,error_z_m,position_error_m,orientation_error_deg
10.388734023,TRACKING,,0.003916049,1,0.050325598,0.000000108,-0.117793108,0.000000000,0.000000000,0.050000000,-0.050306101,0.000003878,-0.167798954,0.175177604,0.007927941
10.400078759,TRACKING,,0.004370897,1,0.050124429,0.000000115,-0.117181062,0.000000000,0.000000000,0.050000000,-0.050104395,0.000003782,-0.167187067,0.174533567,0.008051015
10.408672890,TRACKING,,0.006650834,1,0.050124429,0.000000115,-0.117181062,0.000000000,0.000000000,0.050000000,-0.050104395,0.000003782,-0.167187067,0.174533567,0.008051015
10.420649855,TRACKING,,0.004708991,1,0.049769920,0.000000127,-0.116102251,0.000000000,0.000000000,0.050000000,-0.049749016,0.000003611,-0.166108514,0.173398394,0.008257416
10.429966371,TRACKING,,0.003116808,1,0.049588053,0.000000133,-0.115549075,0.000000000,0.000000000,0.050000000,-0.049566743,0.000003522,-0.165555457,0.172816294,0.008356341
10.442196530,TRACKING,,0.002060257,1,0.049333885,0.000000142,-0.114776881,0.000000000,0.000000000,0.050000000,-0.049312047,0.000003397,-0.164783418,0.172003642,0.008488543
10.451835737,TRACKING,,0.012144161,1,0.049333885,0.000000142,-0.114776881,0.000000000,0.000000000,0.050000000,-0.049312047,0.000003397,-0.164783418,0.172003642,0.008488543
10.463363875,TRACKING,,0.002240466,1,0.049108647,0.000000150,-0.114091817,0.000000000,0.000000000,0.050000000,-0.049086388,0.000003286,-0.164098477,0.171282759,0.008596060
10.470528367,TRACKING,,0.000079294,1,0.048885548,0.000000158,-0.113414965,0.000000000,0.000000000,0.050000000,-0.048862928,0.000003173,-0.163421730,0.170570360,0.008688591
10.482040731,TRACKING,,0.003771451,1,0.048669698,0.000000165,-0.112759743,0.000000000,0.000000000,0.050000000,-0.048646759,0.000003065,-0.162766600,0.169880762,0.008772388
10.493439037,TRACKING,,0.001934691,1,0.048481807,0.000000170,-0.112189083,0.000000000,0.000000000,0.050000000,-0.048458617,0.000002970,-0.162196013,0.169280194,0.008840035
10.502550063,TRACKING,,0.011987108,1,0.048481807,0.000000170,-0.112189083,0.000000000,0.000000000,0.050000000,-0.048458617,0.000002970,-0.162196013,0.169280194,0.008840035
10.512806342,TRACKING,,0.002595021,1,0.048207992,0.000000177,-0.111358573,0.000000000,0.000000000,0.050000000,-0.048184469,0.000002832,-0.161365598,0.168406055,0.008932966
10.522258269,TRACKING,,0.002542587,1,0.047989772,0.000000183,-0.110697439,0.000000000,0.000000000,0.050000000,-0.047966056,0.000002721,-0.160704520,0.167710122,0.008986013
10.532622458,TRACKING,,0.001962954,1,0.047775943,0.000000189,-0.110049292,0.000000000,0.000000000,0.050000000,-0.047752054,0.000002613,-0.160056421,0.167027892,0.009035604
10.542279989,TRACKING,,0.002736562,1,0.047560295,0.000000195,-0.109395531,0.000000000,0.000000000,0.050000000,-0.047536260,0.000002505,-0.159402700,0.166339763,0.009079632
10.551659987,TRACKING,,0.002347330,1,0.047365249,0.000000200,-0.108803984,0.000000000,0.000000000,0.050000000,-0.047341106,0.000002408,-0.158811183,0.165717145,0.009113594
10.562602486,TRACKING,,0.001227036,1,0.047147752,0.000000206,-0.108146651,0.000000000,0.000000000,0.050000000,-0.047123501,0.000002303,-0.158153879,0.165025070,0.009150465
10.572157063,TRACKING,,0.000106107,1,0.047147752,0.000000206,-0.108146651,0.000000000,0.000000000,0.050000000,-0.047123501,0.000002303,-0.158153879,0.165025070,0.009150465
10.582136119,TRACKING,,0.010275816,1,0.046947538,0.000000211,-0.107541365,0.000000000,0.000000000,0.050000000,-0.046923210,0.000002207,-0.157548613,0.164387813,0.009178642
10.592039924,TRACKING,,0.003633597,1,0.046741439,0.000000217,-0.106918569,0.000000000,0.000000000,0.050000000,-0.046717058,0.000002109,-0.156925829,0.163732097,0.009201283
10.605165684,TRACKING,,0.004592532,1,0.046534506,0.000000222,-0.106293310,0.000000000,0.000000000,0.050000000,-0.046510133,0.000002009,-0.156300565,0.163073784,0.009203385
10.612216857,TRACKING,,0.000293751,1,0.046348843,0.000000227,-0.105732041,0.000000000,0.000000000,0.050000000,-0.046324496,0.000001920,-0.155739286,0.162482873,0.009200029
10.625208236,TRACKING,,0.004985769,1,0.046135238,0.000000233,-0.105086636,0.000000000,0.000000000,0.050000000,-0.046110938,0.000001819,-0.155093862,0.161803352,0.009191802
10.636483403,TRACKING,,0.002912112,1,0.045904635,0.000000239,-0.104390147,0.000000000,0.000000000,0.050000000,-0.045880420,0.000001712,-0.154397345,0.161070025,0.009173194
10.651243965,TRACKING,,0.012959862,1,0.045904635,0.000000239,-0.104390147,0.000000000,0.000000000,0.050000000,-0.045880420,0.000001712,-0.154397345,0.161070025,0.009173194
10.656271308,TRACKING,,0.003597088,1,0.045677181,0.000000245,-0.103702798,0.000000000,0.000000000,0.050000000,-0.045653074,0.000001607,-0.153709959,0.160346359,0.009147875
10.669354628,TRACKING,,0.005086829,1,0.045404354,0.000000251,-0.102878508,0.000000000,0.000000000,0.050000000,-0.045380400,0.000001485,-0.152885620,0.159478505,0.009111533
10.680392300,TRACKING,,0.001844354,1,0.045180769,0.000000257,-0.102204252,0.000000000,0.000000000,0.050000000,-0.045157002,0.000001385,-0.152211305,0.158768499,0.009060745
10.689669121,TRACKING,,0.000485507,1,0.044964246,0.000000263,-0.101550851,0.000000000,0.000000000,0.050000000,-0.044940664,0.000001291,-0.151557846,0.158080498,0.009011363
10.702943125,TRACKING,,0.000457012,1,0.044706364,0.000000269,-0.100772849,0.000000000,0.000000000,0.050000000,-0.044683020,0.000001181,-0.150779769,0.157261283,0.008947856
10.711235272,TRACKING,,0.010581412,1,0.044706364,0.000000269,-0.100772849,0.000000000,0.000000000,0.050000000,-0.044683020,0.000001181,-0.150779769,0.157261283,0.008947856
10.723123900,TRACKING,,0.001534098,1,0.044437456,0.000000275,-0.099963947,0.000000000,0.000000000,0.050000000,-0.044414350,0.000001073,-0.149970792,0.156409312,0.008887524
10.736224806,TRACKING,,0.000792933,1,0.044184167,0.000000281,-0.099201192,0.000000000,0.000000000,0.050000000,-0.044161375,0.000000969,-0.149207940,0.155606029,0.008797975
